 INFO  Accepting connections at http://localhost:3000
 HTTP  12/7/2026 11:02:30 am ::1 GET /
 HTTP  12/7/2026 11:02:30 am ::1 Returned 200 in 78 ms
 HTTP  12/7/2026 11:03:18 am ::1 GET /
 HTTP  12/7/2026 11:03:18 am ::1 Returned 200 in 6 ms
 HTTP  12/7/2026 11:03:18 am ::1 GET /static/css/main.007d973d.css
 HTTP  12/7/2026 11:03:18 am ::1 Returned 200 in 7 ms
 HTTP  12/7/2026 11:03:18 am ::1 GET /static/js/main.577c1aa4.js
 HTTP  12/7/2026 11:03:18 am ::1 Returned 200 in 18 ms
 HTTP  12/7/2026 11:03:21 am ::1 GET /favicon.ico
 HTTP  12/7/2026 11:03:21 am ::1 Returned 200 in 3 ms
 HTTP  12/7/2026 11:12:49 am ::1 GET /
 HTTP  12/7/2026 11:12:49 am ::1 Returned 200 in 2 ms
 HTTP  12/7/2026 11:13:52 am ::1 GET /
 HTTP  12/7/2026 11:13:52 am ::1 Returned 200 in 2 ms
 HTTP  12/7/2026 11:14:09 am ::1 GET /
 HTTP  12/7/2026 11:14:09 am ::1 Returned 200 in 8 ms
 HTTP  12/7/2026 11:16:36 am ::1 GET /dashboard
 HTTP  12/7/2026 11:16:36 am ::1 Returned 200 in 2 ms
 HTTP  12/7/2026 11:16:36 am ::1 GET /static/css/main.b86ff644.css
 HTTP  12/7/2026 11:16:36 am ::1 GET /static/js/main.ad6cd5f9.js
 HTTP  12/7/2026 11:16:36 am ::1 Returned 200 in 5 ms
 HTTP  12/7/2026 11:16:36 am ::1 Returned 200 in 12 ms
 HTTP  12/7/2026 11:16:36 am ::1 GET /favicon.ico
 HTTP  12/7/2026 11:16:36 am ::1 Returned 200 in 2 ms
 HTTP  12/7/2026 11:16:43 am ::1 GET /favicon.ico
 HTTP  12/7/2026 11:16:43 am ::1 Returned 304 in 1 ms
 HTTP  12/7/2026 11:16:48 am ::1 GET /favicon.ico
 HTTP  12/7/2026 11:16:48 am ::1 Returned 304 in 8 ms
 HTTP  12/7/2026 11:22:42 am ::1 GET /
 HTTP  12/7/2026 11:22:42 am ::1 Returned 200 in 2 ms
 HTTP  12/7/2026 11:22:42 am ::1 GET /static/css/main.b86ff644.css
 HTTP  12/7/2026 11:22:42 am ::1 Returned 200 in 2 ms
 HTTP  12/7/2026 11:22:42 am ::1 GET /static/js/main.ad6cd5f9.js
 HTTP  12/7/2026 11:22:42 am ::1 Returned 200 in 1 ms
 HTTP  12/7/2026 11:22:45 am ::1 GET /favicon.ico
 HTTP  12/7/2026 11:22:45 am ::1 Returned 200 in 2 ms
 HTTP  12/7/2026 11:22:49 am ::1 GET /
 HTTP  12/7/2026 11:22:49 am ::1 Returned 200 in 2 ms
 HTTP  12/7/2026 11:22:49 am ::1 GET /static/css/main.b86ff644.css
 HTTP  12/7/2026 11:22:49 am ::1 Returned 304 in 11 ms
 HTTP  12/7/2026 11:22:49 am ::1 GET /static/js/main.ad6cd5f9.js
 HTTP  12/7/2026 11:22:49 am ::1 Returned 304 in 5 ms
 HTTP  12/7/2026 11:23:00 am ::1 GET /favicon.ico
 HTTP  12/7/2026 11:23:00 am ::1 Returned 304 in 2 ms
 HTTP  12/7/2026 11:25:56 am ::1 GET /login
 HTTP  12/7/2026 11:25:56 am ::1 Returned 200 in 1 ms
 HTTP  12/7/2026 11:25:56 am ::1 GET /static/css/main.b86ff644.css
 HTTP  12/7/2026 11:25:56 am ::1 Returned 304 in 1 ms
 HTTP  12/7/2026 11:25:56 am ::1 GET /static/js/main.ad6cd5f9.js
 HTTP  12/7/2026 11:25:56 am ::1 Returned 304 in 1 ms
 HTTP  12/7/2026 11:25:57 am ::1 GET /favicon.ico
 HTTP  12/7/2026 11:25:57 am ::1 Returned 304 in 2 ms
 HTTP  12/7/2026 11:26:10 am ::1 GET /dashboard
 HTTP  12/7/2026 11:26:10 am ::1 Returned 304 in 1 ms
 HTTP  12/7/2026 11:26:10 am ::1 GET /static/css/main.b86ff644.css
 HTTP  12/7/2026 11:26:10 am ::1 GET /static/js/main.ad6cd5f9.js
 HTTP  12/7/2026 11:26:10 am ::1 Returned 304 in 3 ms
 HTTP  12/7/2026 11:26:10 am ::1 Returned 304 in 3 ms
 HTTP  12/7/2026 11:26:10 am ::1 GET /favicon.ico
 HTTP  12/7/2026 11:26:10 am ::1 Returned 304 in 1 ms
 HTTP  12/7/2026 11:26:22 am ::1 GET /favicon.ico
 HTTP  12/7/2026 11:26:22 am ::1 Returned 304 in 2 ms
 HTTP  12/7/2026 11:26:22 am ::1 GET /favicon.ico
 HTTP  12/7/2026 11:26:22 am ::1 Returned 304 in 10 ms
 HTTP  12/7/2026 11:26:24 am ::1 GET /favicon.ico
 HTTP  12/7/2026 11:26:24 am ::1 Returned 304 in 6 ms
 HTTP  12/7/2026 11:26:29 am ::1 GET /favicon.ico
 HTTP  12/7/2026 11:26:29 am ::1 Returned 304 in 8 ms
 HTTP  12/7/2026 11:26:40 am ::1 GET /favicon.ico
 HTTP  12/7/2026 11:26:40 am ::1 Returned 304 in 10 ms
 HTTP  12/7/2026 11:26:48 am ::1 GET /favicon.ico
 HTTP  12/7/2026 11:26:48 am ::1 Returned 304 in 1 ms
 HTTP  12/7/2026 11:28:02 am ::1 GET /dashboard
 HTTP  12/7/2026 11:28:02 am ::1 Returned 304 in 1 ms
 HTTP  12/7/2026 11:28:02 am ::1 GET /static/css/main.b86ff644.css
 HTTP  12/7/2026 11:28:02 am ::1 GET /static/js/main.ad6cd5f9.js
 HTTP  12/7/2026 11:28:02 am ::1 Returned 304 in 2 ms
 HTTP  12/7/2026 11:28:02 am ::1 Returned 304 in 2 ms
 HTTP  12/7/2026 11:28:03 am ::1 GET /favicon.ico
 HTTP  12/7/2026 11:28:03 am ::1 Returned 304 in 8 ms
 HTTP  12/7/2026 11:29:19 am ::1 GET /
 HTTP  12/7/2026 11:29:19 am ::1 Returned 304 in 1 ms
 HTTP  12/7/2026 11:29:19 am ::1 GET /static/css/main.b86ff644.css
 HTTP  12/7/2026 11:29:19 am ::1 Returned 304 in 2 ms
 HTTP  12/7/2026 11:29:19 am ::1 GET /static/js/main.ad6cd5f9.js
 HTTP  12/7/2026 11:29:19 am ::1 Returned 304 in 2 ms
 HTTP  12/7/2026 11:29:20 am ::1 GET /favicon.ico
 HTTP  12/7/2026 11:29:20 am ::1 Returned 304 in 2 ms
 HTTP  12/7/2026 11:29:38 am ::1 GET /favicon.ico
 HTTP  12/7/2026 11:29:38 am ::1 Returned 304 in 2 ms
 HTTP  12/7/2026 11:29:57 am ::1 GET /dashboard
 HTTP  12/7/2026 11:29:57 am ::1 Returned 200 in 10 ms
 HTTP  12/7/2026 11:29:57 am ::1 GET /static/js/main.ad6cd5f9.js
 HTTP  12/7/2026 11:29:57 am ::1 GET /static/css/main.b86ff644.css
 HTTP  12/7/2026 11:29:57 am ::1 Returned 304 in 3 ms
